reporterId	systematicName	geneSymbol	M	A	pvalue
SCAB001158	YDR146C	SWI5	-0.19620096	10.558426	0.0931061
SCAB001159	YDR147W	EKI1	-0.053800659	10.071371	0.68921
SCAB001160	YDR148C	KGD2	-0.21719726	11.153549	0.0109671
SCAB001161	YDR149C	YDR149C	0.0058023771	6.0891286	0.988946
SCAB001162	YDR150W	NUM1	-0.023148094	11.576229	0.899943
SCAB001163	YDR151C	CTH1	-0.14969823	9.5581656	0.133821
SCAB001164	YDR152W	GIR2	0.034398858	12.160241	0.812349
SCAB001165	YDR153C	ENT5	-0.052767745	9.6705846	0.704141
SCAB001166	YDR154C	YDR154C	-0.078655078	15.550098	0.857367
SCAB001167	YDR155C	CPR1	0.030604462	5.8874388	0.878861
SCAB001168	YDR156W	RPA14	0.056555784	11.231601	0.691121
SCAB001169	YDR157W	YDR157W	-0.0039960235	6.3902842	0.986144
SCAB001170	YDR158W	HOM2	0.049379842	12.829046	0.712126
SCAB001171	YDR159W	SAC3	0.12629891	9.8644502	0.29939
SCAB001172	YDR160W	SSY1	0.036805732	9.3589704	0.783902
SCAB001173	YDR161W	YDR161W	-0.051396162	11.395519	0.687474
SCAB001174	YDR162C	NBP2	-0.11790949	9.7795401	0.237311
SCAB001175	YDR163W	CWC15	0.010493419	9.2348448	0.954811
SCAB001176	YDR164C	SEC1	-0.091523696	9.718683	0.68589
SCAB001177	YDR165W	TRM82	0.076600139	11.505766	0.548626
SCAB001178	YDR166C	SEC5	-0.070219605	10.37875	0.534015
SCAB001179	YDR167W	TAF10	-0.0070256918	10.495244	0.961659
SCAB001180	YDR168W	CDC37	-0.077535715	10.606138	0.475789
SCAB001181	YDR169C	STB3	0.019901138	8.3420387	0.903085
SCAB001182	YDR170C	SEC7	-0.013612367	12.52583	0.943271
SCAB001185	YDR172W	SUP35	0.098810297	12.859369	0.40255
SCAB001186	YDR173C	ARG82	-0.21408458	9.7814435	0.0213502
SCAB001187	YDR174W	HMO1	-0.058349775	12.016828	0.598587
SCAB001188	YDR175C	RSM24	-0.10798986	9.8374125	0.304635
SCAB001189	YDR176W	NGG1	0.15668137	10.398961	0.203926
SCAB001190	YDR177W	UBC1	0.023567636	12.031595	0.883898
SCAB001191	YDR178W	SDH4	-0.030029899	10.561815	0.864712
SCAB001192	YDR179C	CSN9	0.20044158	9.5567617	0.113752
SCAB001193	YDR179W-A	YDR179W-A	0.0041058328	9.2619762	0.982559
